id,category,work,education,skills_projects
10554236,ACCOUNTANT,"Position: Accountant
Company: Company Name
Summary: In this position as an Accountant assigned to the Defense Enterprise Accounting and Management System (DEAMS) ERO I was responsible for identifying and resolving issues affecting the DEAMS General Ledger.
Highlights: Served on a tiger team which identified and resolved General Ledger postings in DEAMS totaling $360B in accounting adjustments., In collaboration with DFAS Europe, developed an automated tool that identified duplicate obligations.

Position: Resource Advisor
Company: Company Name
Summary: In this position as Resource Advisor for the 1st Air Communications Operation Squadron (1ACOS) I was responsible for providing financial advice and decision support to the Commander.

Position: Staff Accountant
Company: Company Name
Summary: In my position as the Staff Accountant for HQ USAFE I was responsible for providing accounting and financial oversight and advice to customers throughout the Command in support of the USAFE Comptroller.
Highlights: In collaboration with DFAS Europe, developed an automated tool that identifies duplicate obligations by comparing records in the accounting system to the contracting system and provided notification to the funds manager for review and resolution.

Position: Chief, Reports Branch. Accounts Maintenance and Control
Company: Company Name
Summary: In my position as Chief of the Reports Branch in Accounts Maintenance & Control (AM&C) I was responsible for ensuring the development and standardization of various managerial and system reports.
Highlights: Worked with staff to reduce reconciliations from $6.9 million in February 2007 to $1.1 million in August, accomplished this despite loss in experienced personnel and realigning resources to support critical initiatives in Accounts Payable.

","Institution: Northern Maine Community College
Area of Study: Accounting
Degree: Associate
Start Date: 
End Date: 1994

","Skill: Accounting

Skill: General Accounting

Skill: Accounts Payable

Skill: Program Management

"
10674770,ACCOUNTANT,"Position: Staff Accountant
Company: Company Name
Summary: Performed all month end functions to produce financial statements. Entered all payables and receivables for the 7 franchise locations. Worked with vendors to resolve any situations that arose. Reviewed and maintained that all needed franchise document were on file and up to date. Worked directly with controller on year-end review. Assembled all requested financial and legal documentation that was put into presentable formats. Maintained weekly spreadsheet on collected franchise royalties and advertising fees. Managed a company that owned and rented out 12 commercial properties of a shopping center to approved businesses. Managed a company that was a small farming entity. Responsible for maintaining cash flow, all payables, and setting up credit accounts with vendors. Entered all payroll journals and maintained cash flow for company that employed labor to work at farming entity. Filed North Carolina Annual Report for all companies managed by Cary Keisler Inc. and verified that all were current on their filings.

Position: Staff Accountant
Company: Company Name
Summary: Collect daily deposits for newly entered SOs as well the balance for any SO that has completed once a job status report has been ran. Interact directly with customers on outstanding deposits and balances due. Responsible for all PO and non PO payable entry/coding for all companies. Work directly with vendors to resolve and discrepancy with payables. Pull weekly-unpaid bills reports that are used for cash flow projections. Complete weekly check run for all companies. Reconcile monthly purchasing American Express credit card that ranges from $60,000.00 - $100,000.00+. Helped facilitate roll of purchasing manager during turnover period from September 2013 - December 2013. Responsible for ordering needed materials/supplies for factory production floor. Worked directly with VP of Finance and members of the production floor in collection of data to develop unit valuation. This information combined with continued data collection is being used for future bills of materials and job costing.

","Institution: University of North Carolina
Area of Study: Accounting
Degree: Bachelor of Science
Start Date: 
End Date: 2010-05-01

Institution: University of North Carolina
Area of Study: Business Administration Finance
Degree: Bachelor of Science
Start Date: 
End Date: 2010-05-01

","Skill: Accounting
Level: Master
Keywords: QuickBooks, MAS, ADP, Microsoft Excel, Microsoft Access, Microsoft Word, Peachtree, GAAP

"
11163645,ACCOUNTANT,"Position: Accountant
Company: Company Name
Summary: Processed accounts receivables payments received by ACH, Lockbox, Credit Card and Checks. Maintained all banking activity. Documented all loan and other payments to the proper G/L Accounts. Review and maintain all positive pay processing with the bank. Reviewed and processed accounts payables reports. Processed all accounts payables by check, domestic and international wires, ACH, and credit card. Reconcile all bank statements. Maintained all credit card activity for all credit card holders, documented transactions to the proper G/L Accounts. Calculated and processed all Sales quarterly commission reports. Reviewed and completed all credit checks and reference checks on new customers. Maintained and filed the quarterly reports for the Job Development Credit with the State of South Carolina. Ordered passports and Visa's for international travel.

Position: Accounts Receivable Clerk
Company: Company Name
Summary: Performed data entry. Processed accounts receivable payments. Reconciled delivery driver's cash and checks with daily invoices. Corresponded with customers through email and phone calls on overdue invoices. Sent bi-weekly and monthly statements. Created and maintained monthly inventory depletion and sales reports to suppliers. Balanced and solved problems with customer's accounts. Filed customer and suppliers invoices. Ran daily trial balance. Ran the end of day closing reports.

Position: Commercial Auto Underwriter
Company: Company Name
Summary: Processed new business commercial auto applications and issued endorsements. Performed data entry, reviewed applications, loss runs and driving records. Provided clear and consistent written and verbal communications with customers/brokers.

Position: Personal Auto Underwriter
Company: Company Name
Summary: Processed new business, renewals and endorsements. Performed data entry, reviewed applications, loss runs and driving records. Processed account receivable premium checks for insurance premiums. Consistently resolved and answered customer concerns and questions by properly and promptly reviewing policies, endorsements and premium payments.

Position: Claims Examiner
Company: Company Name
Summary: Trained coworkers on multiple tasks and administrative functions. Reviewed medical records and made decisions regarding disability payments. Performed data entry. Created, designed and maintained various insurance documents which complied with Truth and Lending regulations. Responded to and resolved all customer inquiries via telecommunications and written correspondence. Developed and maintained measures of self-directed team performance which improved workflow. Consistently exceeded company goal of required number of paid claims per hour. Performed journal entries and ledger postings. Reconciled bank statements, budget accounts, and accounts receivable/payable records. Rapidly promoted from Level I to Level III within a one-year period due to excellent work performance.

","Institution: Martinez Adult Education, Business Training Center
Area of Study: Computer Applications Specialist Certificate Program 
Degree: Certificate
Start Date: 2008
End Date: 

","Skill: Accounting
Level: Advanced
Keywords: accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written

"
11759079,ACCOUNTANT,"Position: Senior Accountant
Company: Company Name
Summary: Prepare quarterly and annual financial statements for 17 multi-family communities for distribution to investors and financial institutions. Coordinate with external audit firms and manage budgets for construction projects.
Highlights: Manage budgets and construction loan activity for approx $100,000,000

Position: Associate Fund Controller
Company: Company Name
Summary: Performed quarterly and annual close procedures. Lead fee process, coordinate work plan and implement cash reallocation strategy.
Highlights: Coordinated work plan to ensure deadlines and implemented cash reallocation strategy

Position: Advisory, Forensic and Audit Associate
Company: Company Name
Summary: Researched potential fraudulent activities. Performed audits on multiple clients. Analyzed major accounting processes and performed fraud investigations.
Highlights: Conducted fraud investigations leading to arrests and new client relationships

Position: Accounting Tutor
Company: Sole Proprietorship
Summary: Held private sessions teaching financial accounting. Resulted in grade improvement among clients.
Highlights: Helped improve client grades

","Institution: EMORY UNIVERSITY, Goizueta Business School
Area of Study: Accounting
Degree: Bachelor of Business Administration
Start Date: 
End Date: 2007-05

","Skill: Accounting
Level: Senior
Keywords: accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets, Funds, Government, Information Technology, inventory, investments, ledger, MA, Microsoft Excel, natural, page, payables, processes, programming, Real Estate, research, sales, scheme, telephone, writing skills

"
12065211,ACCOUNTANT,"Position: Senior Accountant
Company: Company Name
Summary: Reconcile various balance sheet accounts not limited to cash and liability accounts, including bank statements, for the purpose of maintaining the accuracy of the general ledger in accordance with cash, GAAP, and various international tax legislative basis.
Highlights: Found material misstatement in prepaid property insurance for the first quarter of '08 and made prospective adjustments to the related general ledger accounts., Provided clarity in Japanese payroll systems associated with health, welfare, and childcare allowance to the management and made prospective adjustments to the related general ledger accounts.

Position: Company Name
Company: Accountant
Summary: Maintain financial records in accordance with GAAP to be reported to a parent company and investors.

Position: Company Name
Company: Financial Analyst
Summary: Manage and forecast funds for Palm Desert National Bank sponsored 350 ATM terminals averaging 2.5 million on a weekly basis.

","Institution: TEMPLE UNIVERSITY
Area of Study: Accounting
Degree: Bachelor of Business Administration
Start Date: 
End Date: 2002-08
Courses: Advance Accounting, Accounting Information System, Auditing & Assurance Services, Taxation

","Skill: Accounting
Level: Senior
Keywords: Aderant/CMS Financial reporting, Excel US GAAP principles, QuickBooks Pro IFRS, SQL Bookkeeping, Accessï¿½ Budget development, Peachtree Individual tax returns, Hyperion Essbase

"
12202337,ACCOUNTANT,"Position: Investment Accountant
Company: Company Name
Summary: Reconciled mutual fund accounts with the custody Identified and Resolved differences in Custody and Accounting Cash, Currency and Positions using Eagle, IAX, Business Objects, Lombardi and Workbench Reports.
Highlights: Multiple awards for performance, Formally recognized for excellence achieved in financial analysis, budgeting and forecasting, Increased efficiency of discrepancy investigations by designing a more accurate cash-forecasting system

Position: AML Compliance Officer
Company: Company Name
Summary: Audited customer's bank accounts in the company's system Performed quality assurance reviews on customer information maintained on various bank systems Reconciled the quality assurance results on spreadsheets Performed background search on clients using tools such as world check and google search.

Position: Medical Technologist
Company: Company Name
Summary: Clinical Microbiology Experience - Highlights include ordering, processing, plating and culturing patient's specimens Tests - Performing rapid tests such as Rapid flu, C.Diff quick check and many more; Performing rapid and confirmatory tests to identify organism; Reading Gram stain slides; Performing daily maintenance and running quality control on instruments.

","Institution: University of Delaware
Area of Study: Finance
Degree: Master of Business Administration
Start Date: 
End Date: 2011
Courses: Financial Reporting and Analysis, Financial Management, Corporate Financial Policies, Investment Analysis and Portfolio Management, Corporate Governance, Financial Engineering and Risk Management (Derivatives)

Institution: University of Delaware
Area of Study: Medical Technology
Degree: Bachelor of Science
Start Date: 
End Date: 2008

","Skill: MS Office Skills
Keywords: MS Word, MS Power Point, MS Excel, Pivot Tables, Spreadsheets, Macros, Variance analysis

Skill: Platforms
Keywords: Business Objects, Lombardi, Eagle Accounting System, PEGA, DRAS, Workbench

Skill: Proficiencies
Keywords: Account Reconciliation, Time Management, Complex Problem Solving, Research Skills

Skill: Detail-Oriented

"
12338274,ACCOUNTANT,"Position: Accountant
Company: Company Name
Summary: Prepared monthly and annual expense forecasts, including any necessary recommended action required to manage costs to achieve budget. I performed debit, credit and total accounts on computer spreadsheets/databases, using specialized accounting software. I was responsible to ensure that receivables are timely collected.
Highlights: Maintained accurate accounts including cash, inventory, prepaid, fixed assets, accounts payable, accrued expenses and line of credit transactions.

","Institution: Vidyasagar University
Area of Study: Finance
Degree: MBA
Start Date: Not given
End Date: 2006

Institution: Mohan Lal Sukhadia University
Area of Study: Not given
Degree: Not given
Start Date: Not given
End Date: 2000

","Skill: Accounting
Level: Not given
Keywords: Dos, Windows 9.x, XP, MS Office, Oracle, Tally, Adobe Photoshop, Adobe Illustrator, Pagemaker, 3d Inifnative, Account, Audio Editing, Video Editing, Macro Media Director, Oracle 8I, Developer 2000, reconciliations

"
12442909,ACCOUNTANT,"Position: Accountant, Director of Finance & Accounts, Operations & TrainingConsultant, Franchisee & General Manager
Company: Company Name
Summary: Accounting for six companies, maintained confidential information, processed payroll, electronic deposits and employee pay adjustments, reconciled all bank and credit card accounts, analyzed cost control and provided timely financial information, cost effective purchasing, reviewed book entries, assisted the CFO, prepared monthly and annual expense forecasts, tracked and verified accurate receipt of purchase orders, verified costs against vendor invoices, processed A/P weekly, worked with 50+ vendors, processed company purchase orders and communicated with customers regarding orders, researched and resolved collections and billing disputes.

Position: Patient Service Representative
Company: Company Name
Summary: Consistently build positive report with patients while accurately and efficiently registering in a timely manner, perform daily administrative duties, insurance processing and communication, patient account resolution and billing assistance, provide Preliminary assessment of patient health, serve as liaison between patients and medical providers, mentor new employees on company policies and practices, develop and implement client service techniques to better serve both the patient and corporate needs, compliance and comprehension of HIPPA regulations, effectively prioritize tasks.

","Institution: Strayer University
Area of Study: Accounting
Degree: Bachelor of Science
Start Date: Not provided
End Date: Not provided

",
12780508,ACCOUNTANT,"Position: Accountant II
Company: Company Name
Summary: Responsible for preparing and posting entries for the daily posting packet. Manages accounts payable function and Corporate VISA accounts. Assists with the preparation of financial statements.

Position: Accountant
Company: Company Name
Summary: Overseen business expense processing for multiple business units. Maintained knowledge of Credit Union processes which affect the general ledger. Assisted with the preparation of financial statements.

Position: Accountant
Company: Company Name
Summary: Performed a variety of support duties related to the accounting function within the credit union. Supervised two Accounting Clerks Staffs. Responsible for ensuring staff are adequately trained in all phases of their jobs.

Position: Financial Service Representative/Back-up Supervisor
Company: Company Name
Summary: Provided customers with prompt, accurate, courteous and professional banking service. Assisted customers with opening and closing of accounts. Accepted and processed loan applications.

","Institution: University of Maryland
Area of Study: Finance
Degree: Bachelor of Science Degree
Start Date: 2010-05-01
End Date: 

",
12802330,ACCOUNTANT,"Position: Lead Accountant
Company: Company Name
Summary: Experience in various areas including, but not limited to: operating budgets, financial analysis/planning, financial statements and reporting, accounting policies and procedure, cash flow, taxes, auditing, and business process improvements.
Highlights: Manage various areas in financial accounting, budgeting and financial analysis., Execute qualitative and quantitative analysis techniques to minimize risks and liabilities., Maintain ongoing communication with key stakeholders to include accounts, operations managers and new markets support teams for emerging accounting issues and recommend corrective actions., Test internal controls for compliance in preventing fraud and improving accounting processes while meeting full compliance with GAAP, Federal and State law.

Position: Senior Accountant
Company: Company Name
Summary: Compiled and analyzed financial data used in the preparation of corporate financial statements. Provided support to business operations through analysis of key performance indicators and trends.
Highlights: Maintained and supervised the various systems of internal controls over financial reporting while assessing and remediating deficiencies discovered through periodic testing making easier to reconcile accounts., Maintained general ledger and sub ledger accounts by posting and documenting financial journal entries., Managed and maintained corporate closing schedules for periodic financial reporting.

Position: Staff Accountant
Company: Company Name
Summary: Performed monthly closing cycle, responsible for preparing, analyzing, reconciling and correcting financial statements and management reports for the homebuilding divisions.
Highlights: Acted as the primary contact for operations' personnel for any accounting-related matters., Maintained the company's systems of internal controls over financial reporting., Posted financial statement entries; including reconciling and documented P & L re-classification entries.

","Institution: University of Maryland University College
Area of Study: Accounting Business Administration
Degree: BS
Start Date: 
End Date: 2005

","Skill: Accounting and Financial Analysis
Keywords: QuickBooks, Peachtree, In-house Accounting Systems and Financial Reporting, MAS 90, FAR, WAWF, Great Plains, Hyperion, Excel, Sarbanes-Oxley Research and Compliance

"
